FILE;DATE;HEAT;PI1;PI2;PI3;PI4;PI5;PI6;PI7;PI8;PI9;PI10;PI11;PI12;PI13;PI14;PI15
long-01;28/1/1997;1;-0.237;-0.130;0.403;0.617;-0.282;0.490;0.566;-0.085;0.443;0.586;-0.475;0.543;0.593;-0.030;-0.458
long-02;28/1/1997;-1;-0.338;0.453;0.854;0.944;0.666;0.882;1.000;0.812;0.964;0.916;-0.065;0.959;1.000;0.950;0.861
long-03;28/1/1997;-1;0.828;0.678;0.951;0.892;0.780;0.889;0.833;0.984;0.802;0.818;0.274;0.906;0.964;-0.288;0.244
long-04;28/1/1997;1;-0.130;0.090;0.903;0.904;0.968;0.940;1.000;0.767;1.000;0.926;0.963;0.962;0.949;0.527;0.459
long-05;29/1/1997;1;-0.147;-0.117;0.677;0.901;0.551;0.897;0.912;0.171;0.691;0.933;0.979;0.920;0.575;0.551;0.690
long-06;29/1/1997;-1;0.125;-0.077;0.784;0.926;0.044;0.914;0.910;-0.952;0.785;0.491;0.988;0.927;0.720;0.716;0.217
long-07;29/1/1997;1;-0.066;0.121;0.427;0.715;0.222;0.801;0.858;0.664;0.824;0.904;0.396;0.762;0.750;0.754;0.296
long-08;29/1/1997;-1;0.042;0.591;0.938;0.834;0.757;0.865;0.922;0.853;0.954;0.985;0.927;0.996;0.985;0.940;0.758
long-09;29/1/1997;1;0.254;0.421;0.870;1.000;0.456;0.963;0.933;0.598;1.000;0.868;0.552;0.896;0.869;0.675;0.750
long-10;31/1/1997;-1;0.069;-0.318;0.907;0.799;0.245;0.695;0.643;0.250;0.973;0.872;0.152;0.997;0.814;1.000;0.948
long-11;31/1/1997;1;-0.258;0.042;0.618;0.832;0.926;1.000;1.000;0.854;1.000;0.923;0.688;0.941;1.000;0.930;0.910
long-12;31/1/1997;-1;0.289;-0.208;0.873;0.756;-0.287;0.798;0.580;0.724;0.703;0.725;0.681;0.343;0.906;0.843;0.993
long-13;4/2/1997;1;0.324;0.912;1.000;0.932;0.841;1.000;0.954;0.738;0.952;0.959;0.888;0.984;0.988;0.907;0.960
long-14;4/2/1997;-1;0.505;-0.205;0.738;0.635;-0.695;0.318;0.927;0.253;0.836;0.853;-0.334;0.462;0.302;-0.951;-0.917
long-15;5/2/1997;1;0.221;0.045;0.808;0.888;0.885;0.864;0.904;1.000;1.000;0.929;0.892;1.000;0.945;0.767;0.901
long-16;5/2/1997;-1;0.453;-0.172;0.890;0.769;-0.729;0.574;0.488;-0.951;0.902;0.796;-0.203;0.672;0.912;-0.860;-0.577
long-17;5/2/1997;1;-0.742;-0.086;0.882;1.000;0.744;0.998;0.981;0.984;0.985;0.927;0.858;0.931;1.000;0.979;0.975
long-18;6/2/1997;-1;0.123;-0.317;0.849;0.914;0.272;0.787;0.906;0.632;0.934;0.858;0.663;0.910;0.936;0.568;0.842
long-19;7/2/1997;1;-0.000;-0.272;0.825;0.863;0.822;0.956;0.963;0.623;0.906;0.881;0.784;0.958;0.939;0.766;0.051
long-20;13/2/1997;-1;-0.124;0.412;0.924;0.943;0.893;1.000;0.898;0.889;0.944;0.855;0.605;0.734;0.357;0.968;0.684
long-21;13/2/1997;1;0.352;0.841;0.948;0.688;-0.302;0.705;0.647;0.968;0.459;0.776;0.967;0.667;0.686;0.225;-0.153
long-22;14/2/1997;-1;-0.451;-0.422;0.453;0.772;-1.000;0.341;0.998;0.110;0.868;0.796;0.999;0.431;0.462;0.799;0.718
long-23;14/2/1997;1;0.407;0.218;0.534;0.623;0.983;0.555;0.900;0.963;0.387;0.627;-0.802;-0.488;0.793;0.637;0.809
long-24;19/2/1997;-1;-0.716;-0.853;0.707;0.894;0.983;0.823;0.940;-0.318;0.656;0.995;0.960;0.744;0.525;0.153;-0.556
long-25;19/2/1997;1;-0.165;-0.550;0.282;0.943;-0.874;0.734;0.995;-0.458;0.527;0.917;0.165;0.231;0.845;1.000;0.152
long-26;19/2/1997;-1;-0.158;-0.493;0.756;0.475;0.911;0.756;0.709;-0.074;0.774;0.799;0.459;0.973;0.988;0.917;-0.667
long-27;20/2/1997;1;-0.445;0.372;0.948;0.937;0.506;0.804;0.934;1.000;0.976;0.868;0.648;0.902;1.000;0.927;0.902
long-28;20/2/1997;-1;-0.159;0.536;0.937;0.802;0.968;0.983;0.824;0.698;0.886;0.840;0.816;0.578;0.918;0.523;0.389
long-29;20/2/1997;1;-0.013;-0.401;0.938;0.894;0.708;1.000;1.000;0.964;1.000;0.728;0.037;1.000;0.722;-0.983;0.471
long-30;21/2/1997;-1;-0.225;-0.483;0.882;0.990;-0.736;0.676;0.863;-0.128;0.801;0.734;-0.163;0.675;0.829;-0.845;0.058
