FILE;DATE;HEAT;PI1;PI2;PI3;PI4;PI5;PI6;PI7;PI8;PI9;PI10;PI11;PI12;PI13;PI14;PI15
repl-01;28/1/1997;1;0.068;0.176;0.401;0.617;0.243;0.488;0.565;0.131;0.442;0.584;0.509;0.542;0.593;0.388;0.047
repl-02;28/1/1997;-1;-0.369;-0.111;0.856;0.951;-0.376;0.883;1.000;-0.417;0.965;0.916;-0.970;0.968;1.000;-0.983;-0.984
repl-03;28/1/1997;-1;0.471;0.237;0.951;0.899;0.432;0.899;0.836;0.365;0.808;0.819;-0.996;0.907;0.973;0.329;0.917
repl-04;29/1/1997;1;0.586;0.119;0.902;0.904;0.773;0.939;1.000;0.066;1.000;0.926;0.534;0.962;0.949;0.773;0.957
repl-05;29/1/1997;1;0.048;-0.238;0.676;0.901;-0.264;0.897;0.911;-0.959;0.690;0.933;-0.747;0.920;0.575;-0.963;-0.918
repl-06;29/1/1997;-1;-0.197;0.083;0.788;0.928;0.048;0.917;0.912;0.028;0.790;0.492;-0.350;0.927;0.720;0.025;0.140
repl-07;29/1/1997;1;0.370;0.466;0.427;0.713;-0.893;0.801;0.858;0.934;0.824;0.903;0.585;0.761;0.748;1.000;-0.978
repl-08;29/1/1997;-1;-0.383;-0.432;0.938;0.843;-0.943;0.867;0.933;-0.085;0.961;0.999;0.821;0.999;0.989;0.829;-0.087
repl-09;31/1/1997;1;-0.115;-0.228;0.870;1.000;0.161;0.963;0.933;-0.596;1.000;0.868;-0.802;0.896;0.869;-0.973;-0.112
repl-10;31/1/1997;-1;0.117;0.134;0.909;0.801;-0.874;0.699;0.645;-0.847;0.973;0.873;0.607;0.999;0.818;0.587;0.886
repl-11;31/1/1997;1;-0.268;-0.124;0.614;0.832;-0.094;1.000;1.000;0.449;1.000;0.923;-0.740;0.941;1.000;0.955;0.422
repl-12;31/1/1997;-1;-0.239;0.239;0.879;0.767;-0.494;0.800;0.585;0.921;0.703;0.729;0.855;0.346;0.908;0.517;0.714
repl-13;4/2/1997;1;0.487;0.618;1.000;0.932;0.923;1.000;0.954;0.948;0.952;0.959;0.956;0.984;0.988;0.951;0.813
repl-14;5/2/1997;-1;-0.144;-0.043;0.738;0.635;-0.570;0.318;0.927;-0.581;0.837;0.853;0.217;0.462;0.302;0.537;-0.015
repl-15;5/2/1997;1;0.184;-0.090;0.808;0.888;0.831;0.864;0.904;0.072;1.000;0.929;0.925;1.000;0.945;-0.617;-0.760
repl-16;5/2/1997;-1;0.175;0.256;0.893;0.772;0.147;0.578;0.492;0.328;0.902;0.797;0.966;0.673;0.912;0.568;0.981
repl-17;6/2/1997;1;0.242;0.172;0.882;1.000;0.095;0.998;0.981;0.057;0.985;0.927;-0.144;0.930;1.000;0.108;0.131
repl-18;6/2/1997;-1;0.583;0.136;0.866;0.929;-0.228;0.792;0.914;0.181;0.934;0.862;-0.536;0.914;0.937;0.306;0.989
repl-19;13/2/1997;1;-0.002;-0.222;0.825;0.863;0.018;0.956;0.963;0.410;0.906;0.881;0.333;0.958;0.939;0.701;0.368
repl-20;13/2/1997;-1;-0.168;-0.148;0.924;0.944;-0.142;1.000;0.899;-0.321;0.944;0.868;0.720;0.741;0.357;0.013;-0.174
repl-21;14/2/1997;1;0.052;0.106;0.948;0.688;0.608;0.705;0.646;-0.315;0.459;0.776;0.593;0.666;0.685;-0.745;0.143
repl-22;14/2/1997;-1;-0.438;0.520;0.453;0.774;0.413;0.342;0.998;-0.635;0.870;0.797;-0.033;0.431;0.462;-0.458;-0.686
repl-23;14/2/1997;1;0.152;0.291;0.533;0.621;-0.423;0.553;0.900;0.713;0.386;0.626;0.693;-0.489;0.793;0.422;-0.234
repl-24;19/2/1997;-1;-0.042;0.705;0.708;0.894;0.371;0.824;0.942;0.535;0.657;0.998;0.233;0.744;0.525;0.262;0.770
repl-25;19/2/1997;1;-0.371;0.797;0.276;0.943;0.102;0.733;0.995;0.373;0.526;0.917;0.171;0.230;0.845;0.177;0.746
repl-26;19/2/1997;-1;-0.750;-0.307;0.757;0.475;0.665;0.762;0.713;0.704;0.774;0.800;0.907;0.973;0.988;0.988;0.973
repl-27;20/2/1997;1;-0.151;-0.647;0.948;0.937;0.207;0.804;0.934;0.805;0.976;0.868;0.574;0.902;1.000;0.757;0.801
repl-28;20/2/1997;-1;-0.722;-0.610;0.940;0.805;-0.709;0.983;0.824;-0.738;0.887;0.841;0.169;0.579;0.918;0.074;-0.313
repl-29;21/2/1997;1;-0.159;0.232;0.938;0.894;0.281;1.000;1.000;0.847;1.000;0.728;0.598;1.000;0.720;-0.156;-0.117
repl-30;21/2/1997;-1;0.284;0.193;0.887;0.996;-0.971;0.677;0.868;0.994;0.804;0.735;0.988;0.677;0.833;0.980;0.907
